Path,Sample,FileName,Classifier,Reference
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_T,5X_Cacnes_T,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_A,1X_Cacnes_A,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_B,1X_Cacnes_B,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_C,1X_Cacnes_C,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_D,1X_Cacnes_D,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_E,1X_Cacnes_E,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_F,1X_Cacnes_F,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_G,1X_Cacnes_G,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_H,1X_Cacnes_H,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_I,1X_Cacnes_I,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_J,1X_Cacnes_J,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_K,1X_Cacnes_K,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_L,1X_Cacnes_L,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,1X_Cacnes_M,1X_Cacnes_M,Cacnes_classifiers,Pacnes_C1
