Path,Sample,FileName,Reference,Outgroup
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228352,SRR13228352,SRR13228352,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228340,SRR13228340,SRR13228340,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228265,SRR13228265,SRR13228265,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228254,SRR13228254,SRR13228254,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228243,SRR13228243,SRR13228243,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228200,SRR13228200,SRR13228200,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228189,SRR13228189,SRR13228189,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228135,SRR13228135,SRR13228135,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228124,SRR13228124,SRR13228124,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228113,SRR13228113,SRR13228113,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228178,SRR13228178,SRR13228178,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228090,SRR13228090,SRR13228090,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228101,SRR13228101,SRR13228101,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228079,SRR13228079,SRR13228079,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228036,SRR13228036,SRR13228036,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228026,SRR13228026,SRR13228026,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13228015,SRR13228015,SRR13228015,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227940,SRR13227940,SRR13227940,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227929,SRR13227929,SRR13227929,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227887,SRR13227887,SRR13227887,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227875,SRR13227875,SRR13227875,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227863,SRR13227863,SRR13227863,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227777,SRR13227777,SRR13227777,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227788,SRR13227788,SRR13227788,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227766,SRR13227766,SRR13227766,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227658,SRR13227658,SRR13227658,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227656,SRR13227656,SRR13227656,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227657,SRR13227657,SRR13227657,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227655,SRR13227655,SRR13227655,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227654,SRR13227654,SRR13227654,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227653,SRR13227653,SRR13227653,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227457,SRR13227457,SRR13227457,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227982,SRR13227982,SRR13227982,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227981,SRR13227981,SRR13227981,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227980,SRR13227980,SRR13227980,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227979,SRR13227979,SRR13227979,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227978,SRR13227978,SRR13227978,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227977,SRR13227977,SRR13227977,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227976,SRR13227976,SRR13227976,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227975,SRR13227975,SRR13227975,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227974,SRR13227974,SRR13227974,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227972,SRR13227972,SRR13227972,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227971,SRR13227971,SRR13227971,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227970,SRR13227970,SRR13227970,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227969,SRR13227969,SRR13227969,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227968,SRR13227968,SRR13227968,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227967,SRR13227967,SRR13227967,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227966,SRR13227966,SRR13227966,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227965,SRR13227965,SRR13227965,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227964,SRR13227964,SRR13227964,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227963,SRR13227963,SRR13227963,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227961,SRR13227961,SRR13227961,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227960,SRR13227960,SRR13227960,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227959,SRR13227959,SRR13227959,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227958,SRR13227958,SRR13227958,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227957,SRR13227957,SRR13227957,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227956,SRR13227956,SRR13227956,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227955,SRR13227955,SRR13227955,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227954,SRR13227954,SRR13227954,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227953,SRR13227953,SRR13227953,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227952,SRR13227952,SRR13227952,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227918,SRR13227918,SRR13227918,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227917,SRR13227917,SRR13227917,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227916,SRR13227916,SRR13227916,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227915,SRR13227915,SRR13227915,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227914,SRR13227914,SRR13227914,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227913,SRR13227913,SRR13227913,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227912,SRR13227912,SRR13227912,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227911,SRR13227911,SRR13227911,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227910,SRR13227910,SRR13227910,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227909,SRR13227909,SRR13227909,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227907,SRR13227907,SRR13227907,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227906,SRR13227906,SRR13227906,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227905,SRR13227905,SRR13227905,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227904,SRR13227904,SRR13227904,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227902,SRR13227902,SRR13227902,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227903,SRR13227903,SRR13227903,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227901,SRR13227901,SRR13227901,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227900,SRR13227900,SRR13227900,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227899,SRR13227899,SRR13227899,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227898,SRR13227898,SRR13227898,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227896,SRR13227896,SRR13227896,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227895,SRR13227895,SRR13227895,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227894,SRR13227894,SRR13227894,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227893,SRR13227893,SRR13227893,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227892,SRR13227892,SRR13227892,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227891,SRR13227891,SRR13227891,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227890,SRR13227890,SRR13227890,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227889,SRR13227889,SRR13227889,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227888,SRR13227888,SRR13227888,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227886,SRR13227886,SRR13227886,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227821,SRR13227821,SRR13227821,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227820,SRR13227820,SRR13227820,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227819,SRR13227819,SRR13227819,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227818,SRR13227818,SRR13227818,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227817,SRR13227817,SRR13227817,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227816,SRR13227816,SRR13227816,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227815,SRR13227815,SRR13227815,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227814,SRR13227814,SRR13227814,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227813,SRR13227813,SRR13227813,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227812,SRR13227812,SRR13227812,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227810,SRR13227810,SRR13227810,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227809,SRR13227809,SRR13227809,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227808,SRR13227808,SRR13227808,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227807,SRR13227807,SRR13227807,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227806,SRR13227806,SRR13227806,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227805,SRR13227805,SRR13227805,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227804,SRR13227804,SRR13227804,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227803,SRR13227803,SRR13227803,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227802,SRR13227802,SRR13227802,Ecoli_ASM584,0
/orcd/nese/tami/001/raw_data/public_data/thanert_2022_upec_evolution/fastq/SRR13227801,SRR13227801,SRR13227801,Ecoli_ASM584,0
